fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
,0,0,0,0,3,1,1,0,0,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,21,1,1,0,0,0,,{},0.0,0.0,0.0,{}
 realness ,10,1,1,0,21,1,1,0,0,1,🖤:1,"{""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 1}"
,0,0,0,0,19,1,1,0,0,0,"👁:1,🖤:1",{},0.0,0.0,0.0,{}
 TikTok,7,1,1,0,15,1,1,1,0,1,,"{""VP"": {""VB"": 1}}",0.0,1.0,0.0,"{""^"": 1}"
.Vijat Mohindra with the merch he shot for me! Looooove!Order now on ,69,13,3,8,2,1,1,1,1,0,,"{""INTJ"": {""UH"": 1}, ""ROOT"": {""INTJ"": 1, ""NP"": 1}, ""NP"": {""NP#SBAR#."": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBD#PP"": 1, ""VB#ADVP#PP"": 1}, ""SBAR"": {""S"": 1}}",0.0,1.0,0.0,"{"","": 3, ""^"": 2, ""P"": 3, ""D"": 1, ""N"": 3, ""O"": 2, ""V"": 1, ""R"": 1}"
 ,1,0,1,0,15,1,1,0,0,1,"🔥:1,👸:1,🏼:1,🌈:1",{},0.0,0.0,0.0,{}
Im gonna take Mason Ramsey to the old town road .... cause he cant drive yet  ,78,16,1,11,15,1,1,1,0,0,🐎:1,"{""NP"": {""DT#JJ#NN#NN"": 1}, ""VP"": {""VB#S"": 2, ""VB#ADVP"": 1}, ""S"": {""NP#VP#:#."": 1, ""NP#ADJP#S"": 1}, ""ADJP"": {""JJ"": 1}}",0.0,1.0,0.0,"{""L"": 1, ""V"": 4, ""^"": 2, ""P"": 2, ""D"": 1, ""A"": 1, ""N"": 2, "","": 1, ""O"": 1, ""R"": 1}"
Hot Girl Summer ,16,3,1,2,19,1,1,0,0,0,🌞:1,"{""NP"": {""NNP#NNP#NNPS"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""A"": 1, ""N"": 2}"
FUN BOY or FUCK BOY? ,21,5,1,5,18,1,1,0,0,0,🌈:1,"{""NP"": {""NP#CC#NP"": 1}, ""FRAG"": {""NP#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.376,0.266,0.358,"{""A"": 1, ""N"": 3, ""&"": 1, "","": 1}"
,0,0,0,0,14,1,1,0,0,0,,{},0.0,0.0,0.0,{}
10 years ago,12,3,1,2,17,1,1,0,0,0,,"{""NP"": {""CD#NNS"": 1}, ""ADVP"": {""NP#RB"": 1}, ""ROOT"": {""ADVP"": 1}}",0.0,1.0,0.0,"{""$"": 1, ""N"": 1, ""R"": 1}"
,0,0,0,0,17,1,1,0,0,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,17,1,1,0,0,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,1,0,0,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,17,1,1,0,0,0,,{},0.0,0.0,0.0,{}
Im a bad influence even to the aliens ,38,8,1,6,15,1,1,0,0,1,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#NNS"": 1}, ""VP"": {""VB#NP#ADVP#PP"": 1}}",0.368,0.632,0.0,"{""L"": 1, ""D"": 2, ""A"": 1, ""N"": 2, ""R"": 1, ""P"": 1}"
That one time @ Area 51,23,6,1,6,15,1,1,0,0,0,,"{""NP"": {""DT#CD#NN"": 1, ""CD"": 1, ""NP#NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 1, ""$"": 2, ""N"": 1, ""P"": 1, ""^"": 1}"
Me & Selena Gomez on our way to Area 51 ,40,10,1,8,15,1,1,1,0,0,👽:1,"{""NP"": {""NNP#CC#NNP#NNP"": 1, ""NNP#CD"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""&"": 1, ""^"": 3, ""P"": 2, ""D"": 1, ""N"": 1, ""$"": 1}"
"Thank you for making  your pump up song! I hope this song pumps up women all around the world to take back what is theirs, FREEDOM! Love to you ! Congratulations U.S. Soccer WNT Alex Morgan",189,36,1,24,15,1,1,2,0,1,,"{""NP"": {""DT#NN#NNS"": 1, ""SBAR#,#NP"": 1, ""DT#NN#S"": 1, ""NP#PP#."": 1, ""NNP#NNP#NNP#NNP#NNP"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VBG#NP#PP"": 1, ""VB#NP#PP"": 1, ""VBZ#NP"": 1, ""VB#PRT#NP"": 1, ""VBP#NP#PP#ADVP"": 1, ""VBZ"": 1}, ""S"": {""VP#."": 1}, ""ROOT"": {""NP"": 1, ""SINV"": 1}, ""PRT"": {""RP"": 1}, ""WHNP"": {""WP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ADVP"": {""RB#PP"": 1}, ""SINV"": {""VP#NP"": 1}}",0.0,0.6,0.4,"{""V"": 6, ""O"": 5, ""P"": 6, ""D"": 3, ""N"": 8, "","": 4, ""R"": 1, ""T"": 1, ""^"": 5}"
SMILERS! Keep tweeting On Air Romeo and Most Requested Live and request Mothers Daughter using  and ,100,16,1,8,23,1,0,2,0,2,,"{""NP"": {""NNS#."": 1, ""JJS"": 1, ""NP#CC#NP"": 1, ""ADJP#NNP#NNP#CC#NN#NNP#NNP"": 1}, ""ROOT"": {""NP"": 1}, ""ADJP"": {""JJ#PP"": 1}, ""VP"": {""VBG#NP"": 1, ""VB#S"": 1}}",0.0,1.0,0.0,"{""N"": 4, "","": 1, ""V"": 4, ""P"": 1, ""^"": 2, ""&"": 3, ""R"": 1, ""A"": 1}"
,0,0,0,0,20,1,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,17,1,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,14,1,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,12,1,1,0,1,0,,{},0.0,0.0,0.0,{}
 ELLE Magazine (US) August cover ,33,5,1,2,12,1,1,1,1,0,🖤:2,"{""NP"": {""NNP#NN"": 1, ""NP#PRN#NP"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4, "","": 2, ""N"": 1}"
She Is Coming to ELLE Magazine (US)   Nina Garcia  ,51,9,1,6,22,1,1,2,0,2,🖤:1,"{""NP"": {""NP#PRN"": 1}, ""FRAG"": {""NP"": 1}, ""PRN"": {""-LRB-#NP#-RRB-"": 1}, ""VP"": {""VBG#PP"": 1, ""VBZ#VP"": 1}, ""SINV"": {""FRAG#VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""V"": 2, ""P"": 1, ""^"": 5, "","": 2}"
Keepin it casual,16,3,1,1,0,1,1,0,0,0,,"{""NP"": {""PRP#JJ"": 1}}",0.0,0.526,0.474,"{""V"": 1, ""O"": 1, ""A"": 1}"
,0,0,0,0,19,1,1,0,0,0,,{},0.0,0.0,0.0,{}
 ,1,0,1,0,16,1,1,0,1,0,🍦:1,{},0.0,0.0,0.0,{}
Name 3 BIG changes you would make to the world if you could create a more peaceful loving environment for all..... what would YOU tell to BACK UP! ,147,28,1,18,16,1,1,0,0,1,,"{""NP"": {""CD#NNP#NNS"": 1, ""DT#ADJP#NN#NN"": 1, ""DT"": 1}, ""PP"": {""IN#NP#:"": 1}, ""ADJP"": {""RBR#JJ"": 1}, ""VP"": {""MD#VP"": 2, ""VB#PP#SBAR"": 1, ""VB#NP#SBAR"": 1, ""VB#PRT"": 1, ""VB#S"": 1}, ""S"": {""VP#."": 1}, ""SBAR"": {""IN#S"": 1, ""S"": 1}, ""ROOT"": {""SBARQ"": 1}, ""WHNP"": {""WP"": 1}, ""PRT"": {""RP"": 1}, ""SQ"": {""MD#NP#VP#."": 1}, ""SBARQ"": {""WHNP#SQ"": 1}}",0.0,0.696,0.304,"{""N"": 4, ""$"": 1, ""V"": 9, ""O"": 4, ""P"": 4, ""D"": 3, ""R"": 1, ""A"": 1, "","": 2, ""T"": 1}"
,0,0,0,0,16,1,1,0,1,0,,{},0.0,0.0,0.0,{}
,0,0,0,0,16,1,1,0,1,0,,{},0.0,0.0,0.0,{}
 ,1,0,1,0,15,1,0,0,2,0,💥:1,{},0.0,0.0,0.0,{}
