fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
Happy bday Yohan... dads got ur back and I got ur front .... but dont fly too high,82,18,1,15,4,1,1,0,0,0,,"{""NP"": {""JJ#NN"": 1, ""NN#NN"": 1}, ""VP"": {""VBN"": 1, ""VBD#NP#ADVP"": 1, ""VBD#NP"": 1, ""VBP#ADJP"": 1}, ""S"": {""S#CC#S"": 1, ""S#:#S#:#."": 1, ""CC#NP#VP"": 1}, ""ADJP"": {""RB#JJ"": 1}}",0.0,0.872,0.128,"{""A"": 2, ""N"": 3, ""^"": 1, "","": 2, ""V"": 4, ""L"": 1, ""R"": 2, ""&"": 2, ""O"": 1, ""D"": 1}"
Congratulations team Bharat... from ,36,4,1,2,20,1,1,0,0,1,,"{""NP"": {""JJ#NN#NN"": 1}, ""PP"": {""IN"": 1}, ""FRAG"": {""NP#:#PP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.435,0.565,"{""N"": 2, ""^"": 1, "","": 1, ""P"": 1}"
"Nobody like u dad. Happy father's day every day, every moment, every breath I take .",84,16,1,8,10,1,1,0,0,0,,"{""NP"": {""NN#NN"": 1, ""JJ#NN#POS"": 1, ""NP#NN"": 1, ""NP#NP"": 1, ""NP#SBAR"": 1, ""NP#,#NP"": 1, ""NP#,#NP#."": 1}, ""VP"": {""VBP#NP"": 1, ""VBP"": 1}, ""ROOT"": {""NP"": 1}, ""SBAR"": {""S"": 1}}",0.0,0.64,0.36,"{""N"": 6, ""P"": 1, ""O"": 2, "","": 4, ""A"": 1, ""S"": 1, ""D"": 3, ""V"": 1}"
Happy Fathers Day daddy,23,4,1,1,7,1,1,0,0,0,,"{""NP"": {""JJ#NNS"": 1, ""NN#NN"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.448,0.552,"{""A"": 1, ""N"": 3}"
Thank you 1947PartitionArchive for getting us to meet so many families who shared their experiences and memories. Bharat  ,122,18,1,9,7,1,1,2,0,1,,"{""NP"": {""ADJP#NNS"": 1, ""PRP$#NNS#CC#NNS"": 1, ""NP#SBAR"": 1}, ""ADJP"": {""RB#JJ"": 1, ""JJ#PP"": 1}, ""WHNP"": {""WP"": 1}, ""VP"": {""VBD#NP"": 1, ""VBG#S"": 1, ""VB#S"": 1}, ""S"": {""NP#ADJP"": 1, ""VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}, ""PP"": {""IN#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,0.766,0.234,"{""V"": 4, ""O"": 3, ""$"": 1, ""P"": 2, ""R"": 1, ""A"": 1, ""N"": 3, ""D"": 1, ""&"": 1, "","": 1, ""^"": 1}"
Thank you so much for all the love and support you have shown towards 'Bharat' Bharat ali abbas zafar Atul Agnihotri Bhushan Kumar   Jackie Shroff Disha Patani Sunil Grover Nikhil Namit Reel Life Production Salman Khan Films TSeries,232,38,2,15,10,1,1,11,0,3,,"{""NP"": {""PDT#DT#NN"": 1, ""NNP#POS"": 1, ""``#NP#NNP#JJ#NNS#NN"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP"": 1}, ""ADVP"": {""RB#RB"": 1}, ""VP"": {""VB#NP#ADVP#PP"": 1, ""VBN#PP"": 1, ""VBP#VP"": 1, ""VB#SBAR"": 1, ""VP#CC#VP"": 1}, ""SBAR"": {""S"": 1}, ""SINV"": {""VP#NP"": 1}, ""ROOT"": {""SINV"": 1}}",0.0,0.788,0.212,"{""V"": 4, ""O"": 2, ""R"": 2, ""P"": 2, ""D"": 2, ""N"": 3, ""&"": 1, "","": 2, ""^"": 21, ""G"": 1}"
To all the journalists who have interviewed me during  ... a big thank u to all...,82,16,1,11,17,1,0,0,0,1,,"{""WHNP"": {""WP"": 1}, ""NP"": {""PDT#DT#NNS#SBAR"": 1, ""DT#JJ#NN"": 1, ""DT"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""VBN#NP#PP"": 1, ""VBP#VP"": 1, ""VBP#PP"": 1}, ""S"": {""PP#:#NP#VP#."": 1}, ""SBAR"": {""WHNP#S"": 1}}",0.0,0.839,0.161,"{""P"": 3, ""X"": 1, ""D"": 3, ""N"": 2, ""O"": 3, ""V"": 2, "","": 2, ""A"": 1}"
Special screening of  for the real families who experienced the events of 1947 and the partition. Honoured to meet all of them! Salute to the real  families,156,27,1,17,15,1,1,0,0,2,,"{""NP"": {""JJ#NN"": 1, ""DT#JJ#NNS"": 2, ""DT#NNS"": 1, ""CD"": 1, ""NP#CC#NP"": 1, ""NP#SBAR"": 1, ""NP#PP#."": 1, ""DT"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""IN#PP"": 1}, ""VP"": {""VBD#NP"": 1, ""VB#PP"": 1}, ""SBAR"": {""WHNP#S"": 1}, ""ROOT"": {""NP"": 1, ""ADJP"": 1}, ""ADJP"": {""JJ#S#."": 1}}",0.0,0.801,0.199,"{""A"": 3, ""N"": 5, ""P"": 6, ""D"": 5, ""O"": 2, ""V"": 4, ""$"": 1, ""&"": 1, "","": 2}"
"I always thought of him as my younger brother and today he proves it...   Sooryavanshi releasing on 27th March, 2020.",117,20,3,9,5,1,1,0,0,1,,"{""NP"": {""PRP$#JJR#NN"": 1, ""CD"": 1, ""NP#,#NP"": 1}, ""VP"": {""VBD#PP#PP"": 1, ""VBZ#NP"": 1, ""VBG#PP"": 1}, ""S"": {""NP#ADVP#VP"": 1, ""NP#NP#VP"": 1, ""S#CC#S"": 1, ""S#:#S#."": 1}}",0.0,1.0,0.0,"{""O"": 4, ""R"": 1, ""V"": 3, ""P"": 3, ""D"": 1, ""A"": 2, ""N"": 2, ""&"": 1, "","": 3, ""^"": 2, ""$"": 1}"
Thank you Bharat team for liking  Bharat... shukriya bhaiyon for watching  in England...best wishes for the upcoming matches... pura  apke sath hai... ,151,22,1,10,4,1,0,0,1,3,,"{""NP"": {""NN#NN"": 1, ""JJS#NNS"": 1, ""S#JJ#NN"": 1}, ""VP"": {""VBG#NP"": 2, ""VB#NP#PP"": 1, ""VBG#PP"": 1, ""VBZ"": 1, ""VP#:#NP"": 1, ""VB#S"": 1}, ""S"": {""S#:#S#:#S"": 1, ""VP#:"": 1}, ""PP"": {""IN#S"": 1}}",0.0,0.736,0.264,"{""V"": 4, ""O"": 1, ""^"": 7, ""N"": 2, ""P"": 4, "","": 3, ""G"": 1, ""A"": 2, ""D"": 1, ""!"": 1, ""~"": 1}"
"An unforgettable melody with powerful lyrics,  OUT NOW! - ali abbas zafar Atul Agnihotri Bhushan Kumar  VISHAL DADLANI Shekhar Ravjianii  Irshad Kamil Nikhil Namit Reel Life Production Salman Khan Films TSeries",210,31,3,10,10,1,0,10,1,3,,"{""NP"": {""DT#JJ#NN"": 1, ""JJ#NNS"": 1, ""NP#,#NP"": 1, ""NP#PP#."": 1, ""JJ#NN"": 1, ""NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNP#NNS"": 1, ""NP#NP"": 1}, ""ROOT"": {""NP"": 1, ""FRAG"": 1}, ""FRAG"": {"":#ADVP#NP"": 1}}",0.0,0.904,0.096,"{""D"": 1, ""A"": 2, ""N"": 4, ""P"": 2, "","": 3, ""R"": 1, ""^"": 19, ""G"": 1}"
Something new is coming up,26,5,1,3,6,1,1,0,0,0,,"{""NP"": {""NN#JJ"": 1}, ""PRT"": {""RP"": 1}, ""VP"": {""VBG#PRT"": 1, ""VBZ#VP"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""A"": 1, ""V"": 2, ""T"": 1}"
